Arroz,130,2.7,0.3,28.2
Ajo,124,6,0.1,26.3
Alcachofa,17,1.4,0.2,2.3
Apio,22,2.3,0.2,2.4
Berenjena,16,1.1,0.1,2.6
Berro,13.2,2.4,0.2,1.6
Brécol,31,3.3,0.2,4
Calabacín,12,1.3,0.1,1.4
Calabaza,18,1.1,0.1,3.5
Cardo,10,0.6,0.1,1.7
Cebolla,24,1,0,5.2
Col lombarda,20,1.9,0.2,3.4
Coles de Bruselas,31,4.2,0.5,4.3
Coliflor,25,3.2,0.2,2.7
Espárrago,27,3.6,0.2,2.9
Espinaca,31,3.4,0.7,3
Guisantes frescos,70,7,0.2,10.6
Haba fresca,52,4.1,0.8,7.7
Hinojo,16,0.5,0.3,3.2
Lechuga,19,1.8,0.4,2.2
Nabo,16,1,0,3.3
Papa,80,2.1,1,18
Pepino,10.4,0.7,0.1,2
Puerro,26,2.1,0.1,6
Remolacha,42,1.5,0.1,8.2
Repollo,19,2.1,0.1,2.5
Seta,,4.6,0.4,5.2
Tomate,16,1,0.2,2.9
Trufa,30,6,0.5,0.7
Zanahoria,37,1,0.2,7.8
Bistec de ternera,92,20.7,1,0.5
Buey semi graso,160,0,0,0
Cabrito,127,19.2,17,0.7
Cerdo carne magra,146,19.9,6.8,0
Cerdo carne grasa,398,14.5,37.3,0
Ciervo,120,20.3,3.7,0.6
Codorniz,162,25,6.8,0
Conejo,138,21.2,6.6,0
Cordero Lechal,105,21,2.4,0
Cordero (Pierna),98,17.1,3.3,0
Hígado de cerdo,141,22.8,4.8,1.5
Higado de vacuno,129,21,4.4,0.9
Lacón,361,19.2,31.6,0
Liebre,126,22.8,3.2,0
Pato,288,15.9,24.9,0
Pavo pechuga,134,22,4.9,0.4
Pavo muslo,186,20.9,11.2,0.4
Perdiz,120,25,1.4,0.5
Pollo muslo,130,19.6,5.7,0
Pollo pechuga,108,22.4,2.1,0
Almeja,73,10.2,2.5,2.2
Anguila,264,11.8,23.7,0.1
Arenque,174,17.7,11.5,0
Atún fresco,158,21.5,8,0
Bacalao,122,29,0.7,0
Boquerón,96,16.8,2.6,1.5
Caballa,170,17,11.1,0
Calamar,68,12.6,1.7,0.7
Dorada,80,19.8,1.2,0
Gallo,78,16.2,0.9,1.2
Gamba,65,13.6,0.6,2.9
Langosta,88,16.2,1.9,1
Lenguado,82,16.9,1.7,0.8
Lubina,82,16.6,1.5,0.6
Lucio,81,18,0.6,0
Mejillones,66,11.7,2.7,3.4
Merluza,71,17,0.3,0
Mero,80,17.9,0.7,0.6
Pez espada,109,16.9,4.2,1
Pulpo,57,10.6,1,1.4
Rodaballo,81,16.3,1.3,1.2
Salmón,176,18.4,12,0
Salmonete,123,15.8,6.2,1.1
Sardina,124,15,4.4,1
Sepia,73,14,1.5,0.7
Trucha,96,0,0,0
Huevo entero (100 gr),156,13,11.1,0
Huevo entero pequeño (50 gr),78,0,0,0
Yema (17 gr),55,0,0,0
Clara (33 gr),16,0,0,0
Alubia (judía seca),316,23,1.3,61
Garbanzo,338,21.8,4.9,54.3
Guisantes secos,304,21.7,2,53.6
Haba seca,304,27,2.4,46.5
Lenteja,325,25,2.5,54
Arroz,362,7,0.6,87.6
